outcome,predictor,predictor_label,level,is_reference,log_odds,se,odds_ratio,or_low,or_high,p_value,crashes,observed_share,n,events
serious,weather,Weather,rain,False,-0.0791522,0.0954151,0.923899,0.766315,1.11389,0.406789,63856,0.0747933,875013,82932
serious,weather,Weather,hail or snow,False,-0.336324,0.11801,0.714392,0.566874,0.900298,0.00437232,1577,0.0944832,875013,82932
serious,weather,Weather,unknown,False,-0.157387,0.0862614,0.854373,0.721476,1.01175,0.0680708,22584,0.0622122,875013,82932
serious,weather,Weather,not specified,False,0.400467,0.115784,1.49252,1.1895,1.87273,0.000542693,32211,0.0854367,875013,82932
serious,surface,Road surface,dry,True,0,0,1,1,1,,739583,0.0979985,875013,82932
serious,surface,Road surface,wet,False,-0.476468,0.124642,0.620973,0.486382,0.792807,0.000131993,94216,0.0750616,875013,82932
serious,surface,Road surface,other surface,False,-0.136731,0.0734984,0.872205,0.755191,1.00735,0.0628399,22116,0.104585,875013,82932
serious,surface,Road surface,unknown,False,-0.227397,0.154181,0.796605,0.588848,1.07766,0.140249,18551,0.0561156,875013,82932
serious,surface,Road surface,not specified,False,0.892332,0.662702,2.44082,0.665951,8.94598,0.178139,547,0.0511883,875013,82932
serious,alignment,Alignment,straight,True,0,0,1,1,1,,707617,0.0901222,875013,82932
serious,alignment,Alignment,curve,False,0.143929,0.047298,1.1548,1.05256,1.26697,0.00234209,88406,0.189783,875013,82932
serious,alignment,Alignment,unknown,False,-1.80541,0.197602,0.164407,0.111615,0.24217,6.44469e-20,78990,0.0301557,875013,82932
serious,hour_band,Time of day,10-13,True,0,0,1,1,1,,213424,0.0946941,875013,82932
serious,hour_band,Time of day,00-06,False,0.312395,0.0617753,1.36669,1.21084,1.54261,4.25991e-07,66873,0.137649,875013,82932
serious,hour_band,Time of day,07-09,False,-0.0285859,0.0123246,0.971819,0.948625,0.99558,0.0203723,121148,0.0877439,875013,82932
serious,hour_band,Time of day,14-16,False,-0.100051,0.0116911,0.904791,0.884294,0.925763,1.14933e-17,167851,0.0811613,875013,82932
serious,hour_band,Time of day,17-19,False,0.0123544,0.0148789,1.01243,0.983333,1.04239,0.40635,165519,0.0936448,875013,82932
serious,hour_band,Time of day,20-23,False,0.0189553,0.0477303,1.01914,0.92812,1.11908,0.691269,140198,0.0981754,875013,82932
serious,weekend,Weekend,weekday,True,0,0,1,1,1,,636587,0.0865192,875013,82932
serious,weekend,Weekend,weekend,False,0.204466,0.01341,1.22687,1.19504,1.25954,1.71743e-52,238426,0.116829,875013,82932
serious,vehicles,Vehicles involved,2 vehicles,True,0,0,1,1,1,,472811,0.0731963,875013,82932
serious,vehicles,Vehicles involved,1 vehicle,False,0.139645,0.102533,1.14987,0.940525,1.4058,0.173216,326522,0.13046,875013,82932
serious,vehicles,Vehicles involved,3 or more vehicles,False,0.204107,0.0187225,1.22643,1.18224,1.27227,1.13162e-27,75680,0.0756607,875013,82932
serious,year,Year,2019,True,0,0,1,1,1,,104080,0.0883263,875013,82932
serious,year,Year,2016,False,0.124,0.0319026,1.13202,1.0634,1.20506,0.000101561,102362,0.0985034,875013,82932
serious,year,Year,2017,False,0.0787555,0.0327901,1.08194,1.01459,1.15376,0.0163143,102233,0.0971995,875013,82932
serious,year,Year,2018,False,0.0259941,0.0248692,1.02633,0.977508,1.0776,0.295917,102299,0.0918093,875013,82932
serious,year,Year,2020,False,0.0944911,0.0177117,1.0991,1.0616,1.13792,9.55747e-08,72959,0.0984388,875013,82932
serious,year,Year,2021,False,0.0517409,0.0237287,1.0531,1.00525,1.10324,0.0292188,89862,0.0923082,875013,82932
serious,year,Year,2022,False,0.0461423,0.0281825,1.04722,0.990947,1.1067,0.101575,97916,0.0922219,875013,82932
serious,year,Year,2023,False,0.0986502,0.0339693,1.10368,1.03259,1.17966,0.00368317,101306,0.0967465,875013,82932
serious,year,Year,2024,False,0.0934812,0.0368653,1.09799,1.02145,1.18026,0.0112207,101996,0.0982293,875013,82932
