outcome,outcome_label,denominator,denominator_label,year,count,exposure,rate,rate_low,rate_high,ratio_to_base,ratio_low,ratio_high,index
crashes,Injury crashes,count,"Count, no denominator",2024,101996,,101996,101370.9977,102623.8997,0.9799769408,0.9715508018,0.9884761587,97.99769408
crashes,Injury crashes,residents,"Per 100,000 residents",2019,104080,47087778,221.0340016,219.6931765,222.3809799,1,0.9914450965,1.008628721,100
crashes,Injury crashes,residents,"Per 100,000 residents",2020,72959,47344852,154.1012315,152.9850456,155.2235384,0.6971833762,0.6906165864,0.7038126071,69.71833762
crashes,Injury crashes,residents,"Per 100,000 residents",2021,89862,47346836,189.7951534,188.5562311,191.0401955,0.8586694895,0.8510398897,0.866367489,85.86694895
crashes,Injury crashes,residents,"Per 100,000 residents",2022,97916,47781354,204.9251262,203.6435488,206.2127676,0.9271203738,0.9190656305,0.9352457094,92.71203738
crashes,Injury crashes,residents,"Per 100,000 residents",2023,101306,48320520,209.6542007,208.3651387,210.9492589,0.9485156093,0.9403460293,0.9567561652,94.85156093
crashes,Injury crashes,residents,"Per 100,000 residents",2024,101996,48821936,208.914288,207.634121,210.2003897,0.945168103,0.9370412609,0.9533654282,94.5168103
crashes,Injury crashes,licence_holders,"Per 100,000 licence holders",2019,104080,27311015,381.0916584,378.7798997,383.4140258,1,0.9914450965,1.008628721,100
crashes,Injury crashes,licence_holders,"Per 100,000 licence holders",2020,72959,27206036,268.1721071,266.229683,270.125183,0.703694508,0.6970663896,0.7103856505,70.3694508
crashes,Injury crashes,licence_holders,"Per 100,000 licence holders",2021,89862,27427559,327.6339684,325.4952783,329.7832231,0.8597248488,0.8520858718,0.8674323096,85.97248488
crashes,Injury crashes,licence_holders,"Per 100,000 licence holders",2022,97916,27664075,353.9464088,351.7328699,356.1704214,0.9287697618,0.9207006887,0.9369095527,92.87697618
crashes,Injury crashes,licence_holders,"Per 100,000 licence holders",2023,101306,27914572,362.9143947,360.68301,365.1561588,0.9523021211,0.9440999279,0.9605755737,95.23021211
crashes,Injury crashes,licence_holders,"Per 100,000 licence holders",2024,101996,28142470,362.4273207,360.2064697,364.6584671,0.9510240192,0.9428468262,0.9592721321,95.10240192
crashes,Injury crashes,vehicles,"Per 100,000 registered vehicles",2019,104080,34434791,302.2524516,300.4189433,304.0943739,1,0.9914450965,1.008628721,100
crashes,Injury crashes,vehicles,"Per 100,000 registered vehicles",2020,72959,34765203,209.8621429,208.3420695,211.390552,0.6943273472,0.6877874583,0.7009294212,69.43273472
crashes,Injury crashes,vehicles,"Per 100,000 registered vehicles",2021,89862,35178808,255.4435614,253.7761072,257.1192522,0.845133133,0.8376238087,0.8527097785,84.5133133
crashes,Injury crashes,vehicles,"Per 100,000 registered vehicles",2022,97916,35668443,274.5171691,272.8003713,276.2420902,0.9082380232,0.9003473281,0.9161978727,90.82380232
crashes,Injury crashes,vehicles,"Per 100,000 registered vehicles",2023,101306,36075238,280.8186602,279.0920424,282.5533094,0.9290864596,0.9210842232,0.9371582181,92.90864596
crashes,Injury crashes,vehicles,"Per 100,000 registered vehicles",2024,101996,36241784,281.432062,279.7075267,283.1645918,0.9311158949,0.9231098779,0.939191347,93.11158949
crashes,Injury crashes,road_fuel,Per million tonnes of road fuel,2019,104080,28835308.82,3609.463684,3587.56814,3631.459707,1,0.9914450965,1.008628721,100
crashes,Injury crashes,road_fuel,Per million tonnes of road fuel,2020,72959,23776340.53,3068.554638,3046.328484,3090.902674,0.8501414355,0.8421339293,0.8582250818,85.01414355
crashes,Injury crashes,road_fuel,Per million tonnes of road fuel,2021,89862,27095014.6,3316.551082,3294.901694,3338.307412,0.9188487191,0.9106844042,0.9270862272,91.88487191
crashes,Injury crashes,road_fuel,Per million tonnes of road fuel,2022,97916,27921660.69,3506.811471,3484.880288,3528.846425,0.9715602589,0.9631194256,0.9800750681,97.15602589
crashes,Injury crashes,road_fuel,Per million tonnes of road fuel,2023,101306,27632863.39,3666.141962,3643.600633,3688.788144,1.015702687,1.006954424,1.024526954,101.5702687
crashes,Injury crashes,road_fuel,Per million tonnes of road fuel,2024,101996,28331339.64,3600.112148,3578.05169,3622.274873,0.9974091619,0.9888331353,1.006059567,99.74091619
