period,group,deaths,fitted_long,counterfactual_long,post,fitted_main,counterfactual_main,group_label
2017-10-01,conventional,70.0,68.27397984443081,68.27397984443081,False,70.16009242763937,70.16009242763937,Conventional roads
2017-11-01,conventional,58.0,56.87208783821699,56.87208783821699,False,58.786772181474774,58.786772181474774,Conventional roads
2017-12-01,conventional,64.0,63.259894805551845,63.259894805551845,False,61.88858679406503,61.88858679406503,Conventional roads
2018-01-01,conventional,59.0,52.192791589937244,52.192791589937244,False,52.43296075420554,52.43296075420554,Conventional roads
2018-02-01,conventional,47.0,51.98752918251938,51.98752918251938,False,54.83108578283696,54.83108578283696,Conventional roads
2018-03-01,conventional,46.0,57.74637435537227,57.74637435537227,False,60.50810993602611,60.50810993602611,Conventional roads
2018-04-01,conventional,40.0,55.73280214870835,55.73280214870835,False,54.24865028747168,54.24865028747168,Conventional roads
2018-05-01,conventional,55.0,58.39359399322612,58.39359399322612,False,55.738997822841604,55.738997822841604,Conventional roads
2018-06-01,conventional,71.0,66.01640306130615,66.01640306130615,False,65.57529155628409,65.57529155628409,Conventional roads
2018-07-01,conventional,75.0,78.42574343689304,78.42574343689304,False,79.882627895837,79.882627895837,Conventional roads
2018-08-01,conventional,83.0,73.67892212360607,73.67892212360607,False,74.51737676850452,74.51737676850452,Conventional roads
2018-09-01,conventional,66.0,67.21223801565075,67.21223801565075,False,65.12818729567277,65.12818729567277,Conventional roads
2018-10-01,conventional,71.0,68.3817447160242,68.3817447160242,False,70.79150793007881,70.79150793007881,Conventional roads
2018-11-01,conventional,59.0,56.96185575942361,56.96185575942361,False,59.31583190772929,59.31583190772929,Conventional roads
2018-12-01,conventional,57.0,63.359745355589574,63.359745355589574,False,62.44556173200634,62.44556173200634,Conventional roads
2019-01-01,conventional,48.0,52.27517362620654,52.27517362620654,False,52.904838471486904,52.904838471486904,Conventional roads
2019-02-01,conventional,56.0,55.04305518800936,42.29601415536495,True,49.071436554640734,56.72316873724056,Conventional roads
2019-03-01,conventional,61.0,61.140371941718975,46.981295429156326,True,54.1521262140745,62.596092724960236,Conventional roads
2019-04-01,conventional,44.0,59.0084536174738,45.34309334694344,True,48.55018212296336,56.1206348568609,Conventional roads
2019-05-01,conventional,49.0,61.82563140308095,47.507860384151414,True,49.88397833513253,57.662410539741515,Conventional roads
2019-06-01,conventional,39.0,69.89646505914688,53.7096254096677,True,58.68703333544989,67.83813004675456,Conventional roads
2019-07-01,conventional,68.0,83.03515462337212,63.80561659135767,True,71.49147697227535,82.63917660241019,Conventional roads
2019-08-01,conventional,65.0,78.0093426330087,59.94369769240593,True,66.68981060846573,77.08878414403927,Conventional roads
2019-09-01,conventional,57.0,71.16258426932609,54.682532815573936,True,58.286894471798846,67.37559734189003,Conventional roads
2019-10-01,conventional,59.0,72.40082780318205,55.63402008053175,True,63.35532007804196,73.23434493683675,Conventional roads
2019-11-01,conventional,60.0,60.309743884339746,46.343026787403915,True,53.085089244338384,61.36267217865484,Conventional roads
2019-12-01,conventional,56.0,67.08366439308686,51.54822182511862,True,55.88606128989384,64.60040111270439,Conventional roads
2020-01-01,conventional,49.0,55.347605706900346,42.53003592276212,True,47.34752900515633,54.73045147272921,Conventional roads
2020-02-01,conventional,63.0,55.12993613134916,42.36277494102229,True,49.513061767713715,57.2336567775054,Conventional roads
2020-03-01,conventional,29.0,24.759975816181097,19.025984005259634,True,,,Conventional roads
2020-04-01,conventional,13.0,23.896614268418492,18.362562396109574,True,,,Conventional roads
2020-05-01,conventional,25.0,25.03748488510376,19.23922666534281,True,,,Conventional roads
2020-06-01,conventional,35.0,28.305925030202992,21.750751328552173,True,,,Conventional roads
2020-07-01,conventional,81.0,74.14393471016824,56.97345289654053,True,,,Conventional roads
2020-08-01,conventional,60.0,69.65627550402522,53.52505969490686,True,,,Conventional roads
2020-09-01,conventional,67.0,63.54265281739637,48.827248666594905,True,,,Conventional roads
2020-10-01,conventional,75.0,64.64830798412575,49.67685278873538,True,,,Conventional roads
2020-11-01,conventional,37.0,53.85191047369741,41.380718419589726,True,,,Conventional roads
2020-12-01,conventional,60.0,59.900494621104315,46.028552734832644,True,,,Conventional roads
2021-01-01,conventional,28.0,49.4211070300275,37.97601414703461,True,,,Conventional roads
2021-02-01,conventional,41.0,49.226745029122476,37.82666309968694,True,,,Conventional roads
2021-03-01,conventional,57.0,54.679768233801774,42.016858318081965,True,,,Conventional roads
2021-04-01,conventional,48.0,52.773126253045746,40.55176238669117,True,,,Conventional roads
2021-05-01,conventional,72.0,55.29261744189966,42.487782010313005,True,,,Conventional roads
2021-06-01,conventional,84.0,62.5106192261859,48.03421660771749,True,,,Conventional roads
2021-07-01,conventional,71.0,74.2609648235684,57.06338081416919,True,,,Conventional roads
2021-08-01,conventional,58.0,69.76622221582484,53.609544606994795,True,,,Conventional roads
2021-09-01,conventional,79.0,63.6429496777402,48.904318469685435,True,,,Conventional roads
2021-10-01,conventional,78.0,64.75035003037115,49.75526362217651,True,,,Conventional roads
2021-11-01,conventional,46.0,53.93691129290384,41.446034486077906,True,,,Conventional roads
2021-12-01,conventional,54.0,59.995042633772385,46.101205026180004,True,,,Conventional roads
2022-01-01,conventional,60.0,55.52246690275209,42.66440222182941,True,,,Conventional roads
2022-02-01,conventional,56.0,55.30410963779149,42.49661280792144,True,,,Conventional roads
2022-03-01,conventional,45.0,61.430344329737814,47.20411511433583,True,,,Conventional roads
2022-04-01,conventional,81.0,59.288314888600326,45.55814347896602,True,,,Conventional roads
2022-05-01,conventional,67.0,62.11885379295803,47.73317742570278,True,,,Conventional roads
2022-06-01,conventional,68.0,70.22796524868777,53.964355759598945,True,,,Conventional roads
2022-07-01,conventional,94.0,83.42896809409496,64.1082295200073,True,,,Conventional roads
