band,residents,year,deaths_30d,deaths_per_million,deaths_per_million_low,deaths_per_million_high
55-64,5327248,2013,202.0,37.91826474006842,32.86923760114245,43.52340040140053
65+,8332988,2013,482.0,57.84239698893122,52.79316552206967,63.244280508536555
15-24,4490039,2014,154.0,34.298143067354204,29.095078084713226,40.16318632964531
25-34,6076026,2014,211.0,34.72664534351893,30.198773894552765,39.74185402392846
35-44,7872615,2014,277.0,35.18525928169992,31.163333863183706,39.58223941352829
45-54,7055271,2014,298.0,42.237923957846554,37.577954794595755,47.31610341788156
55-64,5419329,2014,216.0,39.85733289121218,34.71888433689084,45.542030803708634
65+,8487781,2014,477.0,56.19843396053692,51.26765414786575,61.475461569076025
15-24,4463731,2015,170.0,38.084732256491264,32.574794708698825,44.25971768387765
25-34,5813407,2015,236.0,40.5958158443061,35.5812882427109,46.11907724899359
35-44,7820774,2015,271.0,34.65130177652493,30.648150714085563,39.03207500149667
45-54,7129827,2015,262.0,36.74703467559591,32.43174340385944,41.47668274952478
55-64,5552967,2015,210.0,37.817620742208625,32.875417186671974,43.293094293407506
65+,8599852,2015,505.0,58.721940796190445,53.71138417256938,64.07408828326365
15-24,4464159,2016,198.0,44.35325892290127,38.39018254126718,50.98011222658481
25-34,5602939,2016,223.0,39.80054039496057,34.74780794252383,45.381437122285625
35-44,7749234,2016,289.0,37.29400867234103,33.11780721228818,41.85107983789417
45-54,7214140,2016,311.0,43.109781623311996,38.45119960774483,48.177200843484194
55-64,5702596,2016,230.0,40.33250821204938,35.28811435900627,45.895663449020496
65+,8719919,2016,513.0,58.83082170832092,53.84939913863997,64.14909305330067
15-24,4484341,2017,200.0,44.59964128508515,38.63240611752258,51.227589887889856
25-34,5451139,2017,293.0,53.750234584001625,47.77126030629818,60.27057475223389
35-44,7646122,2017,289.0,37.79693810797159,33.564418362002165,42.41546378890161
45-54,7306921,2017,291.0,39.82525608255516,35.38049902425233,44.67391152740975
55-64,5838780,2017,246.0,42.13208923782023,37.03119431426677,47.73928731142606
65+,8840365,2017,465.0,52.59963813711312,47.92682102511655,57.60495767270709
15-24,4546056,2018,207.0,45.53397494443535,39.541922226426735,52.17751731331455
25-34,5378066,2018,261.0,48.5304568593989,42.820846831533274,54.789410458629646
35-44,7532144,2018,301.0,39.96206126701773,35.574562475238814,44.741255754078715
45-54,7401997,2018,288.0,38.90841890370936,34.54410347600594,43.67148437969118
55-64,5982709,2018,220.0,36.77263928431084,32.07367466965465,41.96631437892639
65+,8972650,2018,496.0,55.27909814826166,50.5206670533426,60.36497090872121
15-24,4655877,2019,172.0,36.94255668695715,31.62780420796252,42.89481894618554
25-34,5364584,2019,242.0,45.11067400566381,39.605686470095144,51.166812720630936
35-44,7418148,2019,256.0,34.50996124639196,30.41166096910317,39.00660679861658
45-54,7504228,2019,317.0,42.242852962356686,37.72012570273333,47.15854396503254
55-64,6168889,2019,234.0,37.93227597384229,33.22744330787538,43.11656988392426
65+,9125804,2019,492.0,53.91305796179712,49.25381475020876,58.89426683942966
15-24,4760327,2020,135.0,28.359396318782302,23.777505544779252,33.5667777622405
25-34,5346390,2020,192.0,35.91208273246059,31.011792495129924,41.36681463622567
35-44,7267850,2020,220.0,30.27030001995088,26.402232036876782,34.54560106931656
45-54,7602254,2020,229.0,30.122645204961582,26.347261173954514,34.28718022266682
55-64,6350400,2020,203.0,31.966490299823633,27.72009417087463,36.67937069729081
65+,9243530,2020,362.0,39.16252773561615,35.23168526584496,43.41201615687026
15-24,4815737,2021,199.0,41.32285463263463,35.78066937890955,47.48032149243875
25-34,5272462,2021,196.0,37.17428404415243,32.15188264704792,42.758766734980675
35-44,7042918,2021,236.0,33.50883824005902,29.36971723072642,38.06788131181423
45-54,7689381,2021,276.0,35.893656459473135,31.783557354982882,40.387761242359936
55-64,6500036,2021,242.0,37.23056303072783,32.68720849338202,42.22879147932308
65+,9396344,2021,349.0,37.14210548272818,33.34711972420834,41.25065454097805
15-24,4964880,2022,194.0,39.07445900001611,33.76919386656383,44.976698099270614
25-34,5317603,2022,225.0,42.31229747688949,36.963805670452466,48.21724036779932
35-44,6880032,2022,280.0,40.69748512797615,36.069702634278414,45.75438639492493
45-54,7804971,2022,278.0,35.61832580800108,31.55400367068168,40.060939846392046
55-64,6660259,2022,273.0,40.989396958887035,36.27086925243675,46.15131330852599
65+,9585758,2022,467.0,48.71810867747757,44.39917856020716,53.34367565383494
15-24,5144922,2023,216.0,41.98314376777724,36.57063347793383,47.97103789978381
25-34,5412941,2023,214.0,39.53488500983107,34.415076197804254,45.201644039879746
35-44,6754256,2023,249.0,36.86564441738661,32.42845072873357,41.74046181728122
45-54,7908957,2023,312.0,39.4489437734963,35.192604682324756,44.07819186485745
55-64,6812091,2023,301.0,44.1861390283835,39.33487196522994,49.47050488323621
65+,9808031,2023,463.0,47.20621294936772,43.00369735754552,51.70843594112541
15-24,5305535,2024,193.0,36.377104288257456,31.425760978304325,41.88712491423717
25-34,5504183,2024,215.0,39.061201271832715,34.01410146598443,44.646156849838626
35-44,6645201,2024,252.0,37.922103484905875,33.384128272965,42.90482958243471
45-54,7997979,2024,327.0,40.885328656151756,36.573507185024646,45.56575021851854
55-64,6937044,2024,271.0,39.065630836419665,34.552506839051595,44.00448337040318
65+,10050225,2024,486.0,48.35712633299254,44.15290252288554,52.85372805129734
