year,group,label,series_column,deaths_30d,has_km_denominator
2010,car,Cars,Turismos,1198,True
2010,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,115,True
2010,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,70,True
2010,bus,Buses,Autobuses,4,True
2010,other,Other vehicles,Otros,67,False
2011,bicycle,Bicycles,Bicicletas,49,False
2011,vmp,Personal mobility vehicles,VMP,,False
2011,moped,Mopeds,Ciclomotores,74,True
2011,motorcycle,Motorcycles,Motocicletas,348,True
2011,car,Cars,Turismos,979,True
2011,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,99,True
2011,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,73,True
2011,bus,Buses,Autobuses,3,True
2011,other,Other vehicles,Otros,55,False
2012,bicycle,Bicycles,Bicicletas,72,False
2012,vmp,Personal mobility vehicles,VMP,,False
2012,moped,Mopeds,Ciclomotores,66,True
2012,motorcycle,Motorcycles,Motocicletas,303,True
2012,car,Cars,Turismos,874,True
2012,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,97,True
2012,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,50,True
2012,bus,Buses,Autobuses,3,True
2012,other,Other vehicles,Otros,62,False
2013,bicycle,Bicycles,Bicicletas,69,False
2013,vmp,Personal mobility vehicles,VMP,,False
2013,moped,Mopeds,Ciclomotores,54,True
2013,motorcycle,Motorcycles,Motocicletas,301,True
2013,car,Cars,Turismos,716,True
2013,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,68,True
2013,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,43,True
2013,bus,Buses,Autobuses,11,True
2013,other,Other vehicles,Otros,40,False
2014,bicycle,Bicycles,Bicicletas,75,False
2014,vmp,Personal mobility vehicles,VMP,,False
2014,moped,Mopeds,Ciclomotores,53,True
2014,motorcycle,Motorcycles,Motocicletas,287,True
2014,car,Cars,Turismos,722,True
2014,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,112,True
2014,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,48,True
2014,bus,Buses,Autobuses,26,True
2014,other,Other vehicles,Otros,29,False
2015,bicycle,Bicycles,Bicicletas,58,False
2015,vmp,Personal mobility vehicles,VMP,,False
2015,moped,Mopeds,Ciclomotores,56,True
2015,motorcycle,Motorcycles,Motocicletas,329,True
2015,car,Cars,Turismos,693,True
2015,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,93,True
2015,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,59,True
2015,bus,Buses,Autobuses,2,True
2015,other,Other vehicles,Otros,32,False
2016,bicycle,Bicycles,Bicicletas,67,False
2016,vmp,Personal mobility vehicles,VMP,,False
2016,moped,Mopeds,Ciclomotores,54,True
2016,motorcycle,Motorcycles,Motocicletas,343,True
2016,car,Cars,Turismos,754,True
2016,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,88,True
2016,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,55,True
2016,bus,Buses,Autobuses,21,True
2016,other,Other vehicles,Otros,39,False
2017,bicycle,Bicycles,Bicicletas,78,False
2017,vmp,Personal mobility vehicles,VMP,,False
2017,moped,Mopeds,Ciclomotores,49,True
2017,motorcycle,Motorcycles,Motocicletas,359,True
2017,car,Cars,Turismos,799,True
2017,van_light_truck,"Vans and trucks up to 3,500 kg",Camiones hasta 3.500 kg y furgonetas,98,True
2017,heavy_truck,"Trucks over 3,500 kg",Camiones más de 3.500 kg,57,True
2017,bus,Buses,Autobuses,3,True
