year,band,reference,denominator,ratio,ratio_low,ratio_high
2016,75+,35-64,licence_holders,2.131062780409543,1.7234040947189202,2.635150158899639
2016,75+,35-64,travel_weighted,2.930731901328784,2.370101625210091,3.6239751857496256
2016,75+,35-64,drivers_involved,3.553550640279395,2.8737791211724013,4.394117160917514
2016,75+,35-64,involvement_per_licence,0.5996995670341678,0.5816384979260996,0.6183214694063502
2017,75+,35-64,residents,0.6191691357639152,0.4932467227494578,0.7772386536004716
2017,75+,35-64,licence_holders,1.656090579438154,1.3192861266837814,2.0788788359336556
2017,75+,35-64,travel_weighted,2.35850448766327,1.878847865526302,2.960614065881065
2017,75+,35-64,drivers_involved,2.866146926536732,2.2832494334338307,3.5978540426665226
2017,75+,35-64,involvement_per_licence,0.577810775890428,0.5605177296541461,0.5956373457465866
2018,75+,35-64,residents,0.7274484489281233,0.5867770161009691,0.9018438543558667
2018,75+,35-64,licence_holders,1.8439751063290246,1.487393659647656,2.2860418764771464
2018,75+,35-64,travel_weighted,2.7533094497196573,2.2208841130799244,3.413376178103513
2018,75+,35-64,drivers_involved,3.475694917462818,2.8035772095620324,4.3089432736414786
2018,75+,35-64,involvement_per_licence,0.5305342241243332,0.5146396704951623,0.5469196781825897
2019,75+,35-64,residents,0.7379284814257895,0.5975952216281956,0.9112161944932116
2019,75+,35-64,licence_holders,1.7985240935829483,1.4564953533595772,2.2208714279363657
2019,75+,35-64,travel_weighted,2.81667446069329,2.2810221328498224,3.478114001291969
2019,75+,35-64,drivers_involved,3.3383277545064423,2.703471629753675,4.12226711531034
2019,75+,35-64,involvement_per_licence,0.5387500047456701,0.5232038435247663,0.554758095158604
2020,75+,35-64,residents,0.8218147525160289,0.6559337685165884,1.02964585735595
2020,75+,35-64,licence_holders,1.9462984574272868,1.5534436172261377,2.4385034920983544
2020,75+,35-64,travel_weighted,3.128927786518174,2.4973625602895266,3.92021136575
2020,75+,35-64,drivers_involved,3.8027035566502088,3.035138596415444,4.764380235168943
2020,75+,35-64,involvement_per_licence,0.5118196642027432,0.49384503295387283,0.5304485236952394
2021,75+,35-64,residents,0.6291633670336386,0.49799341133645936,0.7948830916352408
2021,75+,35-64,licence_holders,1.4735025818228586,1.1663021335694088,1.8616186973728255
2021,75+,35-64,travel_weighted,2.4021440752827155,1.901337530523683,3.03486154655904
2021,75+,35-64,drivers_involved,3.027490338203863,2.396309639607012,3.8249221204238393
2021,75+,35-64,involvement_per_licence,0.4867076083542688,0.4711335092010972,0.502796535172414
2022,75+,35-64,residents,0.5215203415191784,0.410630005272494,0.6623565329518291
2022,75+,35-64,licence_holders,1.1800572290510098,0.9291428686664974,1.4987308311735834
2022,75+,35-64,travel_weighted,1.9873767674927478,1.5648028802419565,2.524066427689096
2022,75+,35-64,drivers_involved,2.348005364212684,1.848751387679176,2.9820825164017477
2022,75+,35-64,involvement_per_licence,0.5025785916152276,0.48772892922152644,0.5178803749720196
2023,75+,35-64,residents,0.6610115034851637,0.5345845313073103,0.817337917861563
2023,75+,35-64,licence_holders,1.442228457367504,1.1663836708662922,1.7833093648299985
2023,75+,35-64,travel_weighted,2.511849104246011,2.0314255788714575,3.105890753825507
2023,75+,35-64,drivers_involved,2.794883221322824,2.26032577202049,3.4558612380238056
2023,75+,35-64,involvement_per_licence,0.5160245860594111,0.5016450584767802,0.5308162991305776
2024,75+,35-64,residents,0.7359755916874188,0.6034403861285216,0.8976198544395777
2024,75+,35-64,licence_holders,1.5525563792633075,1.2729705055040146,1.893548436801224
2024,75+,35-64,travel_weighted,2.7765667335028077,2.276559876034791,3.3863914174847887
2024,75+,35-64,drivers_involved,2.9514413439733875,2.419942895333698,3.5996742004584497
2024,75+,35-64,involvement_per_licence,0.5260332828343367,0.5118488273981332,0.5406108206910751
2014,65+,35-64,residents,0.8895667051316215,0.7601264781993569,1.0410490169389797
2014,65+,35-64,licence_holders,1.6746484131556978,1.4309714978887789,1.959820521808094
2014,65+,35-64,travel_weighted,3.420787082945329,2.9230307553432437,4.00330521512816
2014,65+,35-64,drivers_involved,2.7339098168561757,2.3361005181663725,3.199461165553436
2014,65+,35-64,involvement_per_licence,0.6125470572695912,0.6005969648950245,0.6247349209219161
2015,65+,35-64,residents,0.8765356044020567,0.7453849539989467,1.0307622412587156
2015,65+,35-64,licence_holders,1.632785263875289,1.3884816118040906,1.9200741985083332
2015,65+,35-64,travel_weighted,3.3606681404375127,2.8578319633399976,3.951978456057344
2015,65+,35-64,drivers_involved,2.6838055837369112,2.2822442026647694,3.156021780179068
2015,65+,35-64,involvement_per_licence,0.608384330731517,0.5970236122008123,0.6199612315419444
2016,65+,35-64,residents,0.7977359097418071,0.6812312715957023,0.9341652508126044
2016,65+,35-64,licence_holders,1.465630103855271,1.2515834465335995,1.716283166956336
2016,65+,35-64,travel_weighted,3.0503954027387508,2.604903093493649,3.572076111503298
2016,65+,35-64,drivers_involved,2.4982955737361023,2.133434197626878,2.925555792014632
2016,65+,35-64,involvement_per_licence,0.5866520035751731,0.5758885024414433,0.5976166772556105
2017,65+,35-64,residents,0.7011932621187934,0.596824671072317,0.8238131140882734
2017,65+,35-64,licence_holders,1.2525539401339607,1.0661184778956672,1.4715919529336259
2017,65+,35-64,travel_weighted,2.6709462082376665,2.273391200831638,3.1380228993098362
2017,65+,35-64,drivers_involved,2.1540203659103394,1.8334068021174361,2.5307006232320703
2017,65+,35-64,involvement_per_licence,0.5814958669643786,0.571019225858159,0.5921647257821885
2018,65+,35-64,residents,0.7708231128161996,0.6584802721436847,0.9023326838894337
2018,65+,35-64,licence_holders,1.3378226500442254,1.1428430310848268,1.5660676000906635
2018,65+,35-64,travel_weighted,2.917477607803466,2.492272762995903,3.4152263421612603
2018,65+,35-64,drivers_involved,2.4555067636329952,2.0976313956912427,2.8744389880093553
2018,65+,35-64,involvement_per_licence,0.5448254795539138,0.5350034546904873,0.5548278250705473
2019,65+,35-64,residents,0.749666793534166,0.6404009417545155,0.877575694670401
2019,65+,35-64,licence_holders,1.2700775527556247,1.0849605023206934,1.4867794602322917
2019,65+,35-64,travel_weighted,2.8614796210300053,2.444411650514774,3.3497081474986747
2019,65+,35-64,drivers_involved,2.3598003608664517,2.0158534251292637,2.762431868174321
2019,65+,35-64,involvement_per_licence,0.5382139836139733,0.5286562224932483,0.5479445428476384
2020,65+,35-64,residents,0.8248075327989084,0.6956382150490698,0.9779616062551049
2020,65+,35-64,licence_holders,1.369235819185989,1.154806089134026,1.623481852219726
2020,65+,35-64,travel_weighted,3.1403223171680277,2.6485308687476823,3.723431873900148
2020,65+,35-64,drivers_involved,2.643155899256763,2.229223399083179,3.1339492985086634
2020,65+,35-64,involvement_per_licence,0.5180306691599269,0.5068429567687891,0.5294653316307201
2021,65+,35-64,residents,0.6255053003358058,0.5250394614850808,0.7451951890273381
2021,65+,35-64,licence_holders,1.0266953408030959,0.8617921679562175,1.2231525906375353
2021,65+,35-64,travel_weighted,2.388177586282223,2.004599278629937,2.8451532655039284
2021,65+,35-64,drivers_involved,2.047802013267724,1.7188932942645505,2.4396471261688073
2021,65+,35-64,involvement_per_licence,0.5013645528967787,0.49158156046024615,0.5113422372190762
2022,65+,35-64,residents,0.64260134445237,0.5461131758799106,0.7561372003644855
2022,65+,35-64,licence_holders,1.0296925020254897,0.8750816463667569,1.2116202563836458
2022,65+,35-64,travel_weighted,2.448784603500037,2.081093586884575,2.881439869946331
2022,65+,35-64,drivers_involved,1.9833210361895375,1.6855205162789457,2.333737438732519
2022,65+,35-64,involvement_per_licence,0.5191759091124198,0.5097921790981795,0.5287323651758041
2023,65+,35-64,residents,0.7655114180495525,0.658575396514946,0.8898111503485805
2023,65+,35-64,licence_holders,1.1958801883913797,1.0288249798558071,1.3900609462140376
2023,65+,35-64,travel_weighted,2.9089496318591976,2.502591877891059,3.381289628345114
2023,65+,35-64,drivers_involved,2.2496310865018865,1.9353750314791855,2.614914392838743
2023,65+,35-64,involvement_per_licence,0.5315894661870716,0.5224352752020848,0.5409040583098973
2024,65+,35-64,residents,0.7840138374462844,0.6773067313712577,0.9075322432759352
2024,65+,35-64,licence_holders,1.1916676624031624,1.029477403016388,1.379410381866159
2024,65+,35-64,travel_weighted,2.9577974653591275,2.5552305809370837,3.423787235231234
2024,65+,35-64,drivers_involved,2.2522821877233716,1.945738472756406,2.607120702069325
2024,65+,35-64,involvement_per_licence,0.529093409741748,0.5201359185720432,0.5382051618367041
