year,road_type,road_type_label,totals_source,speed_crashes,speed_deaths,other_crashes,other_deaths,share_of_crashes,share_of_deaths,speed_deaths_per_100,speed_low,speed_high,other_deaths_per_100,other_low,other_high,rate_ratio,ratio_low,ratio_high
2022,urban,Urban streets,report,1305,71,45359,290,0.02796588376,0.1966759003,5.440613027,4.249163912,6.862593035,0.6393439009,0.5678697168,0.7173247337,8.509681596,6.564543182,11.03118357
2022,motorway,Motorways,microdata,139,15,1546,42,0.0824925816,0.2631578947,10.79136691,6.039846139,17.79871861,2.716688228,1.957949918,3.672173272,3.972250771,2.202934221,7.162617946
2022,dual_carriageway,Dual carriageways,microdata,669,35,4995,187,0.1181144068,0.1576576577,5.231689088,3.644063139,7.27601306,3.743743744,3.226371277,4.320479159,1.397448502,0.9740225761,2.00494564
2022,other_interurban,Other interurban roads,microdata,2603,221,13783,566,0.1588551202,0.2808132147,8.490203611,7.407662,9.686443352,4.106508017,3.775123239,4.459188922,2.067499583,1.769815834,2.41525386
2023,all,All roads,report,5070,319,68179,1143,0.06921596199,0.2181942544,6.291913215,5.62032515,7.021661432,1.676469294,1.580676105,1.776549975,3.753073938,3.315028458,4.249002432
2023,interurban,All interurban roads,report,3580,258,21473,809,0.1428970582,0.2417994377,7.206703911,6.354075503,8.14186726,3.767522004,3.512345755,4.036336707,1.912849853,1.66272752,2.200597821
2023,urban,Urban streets,report,1490,61,46706,334,0.03091542867,0.1544303797,4.093959732,3.131554803,5.258862545,0.7151115488,0.6404673995,0.7960664386,5.724924647,4.35762104,7.521251141
2023,motorway,Motorways,microdata,163,6,1675,47,0.08868335147,0.1132075472,3.680981595,1.35085537,8.011947253,2.805970149,2.061721323,3.731345453,1.311839185,0.5608724415,3.068294894
2023,dual_carriageway,Dual carriageways,microdata,653,41,5320,178,0.1093252972,0.1872146119,6.278713629,4.505713303,8.517784007,3.345864662,2.872377125,3.875121505,1.876559354,1.336317553,2.635208228
2023,other_interurban,Other interurban roads,microdata,2764,211,14478,584,0.160306229,0.265408805,7.633863965,6.638514304,8.736343645,4.033706313,3.713147395,4.374534698,1.892518536,1.616849926,2.21518791
