category,year,crashes,deaths,share_of_deaths,label,region_scope
Ciclomotor,2022,171,3,0.008771929825,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2022,1112,101,0.2953216374,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2022,3290,161,0.4707602339,Cars,Spain without Cataluña and País Vasco
Furgoneta,2022,301,8,0.02339181287,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2022,48,2,0.005847953216,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2022,208,8,0.02339181287,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2022,34,9,0.02631578947,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2022,63,4,0.01169590643,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2022,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2022,5703,342,1,Total,Spain without Cataluña and País Vasco
Peatón,2023,215,26,0.08150470219,Pedestrians,Spain without Cataluña and País Vasco
Bicicleta,2023,199,8,0.02507836991,Bicycles,Spain without Cataluña and País Vasco
VMP,2023,116,2,0.006269592476,Personal mobility vehicles,Spain without Cataluña and País Vasco
Ciclomotor,2023,155,6,0.01880877743,Mopeds,Spain without Cataluña and País Vasco
Motocicleta,2023,1300,117,0.3667711599,Motorcycles,Spain without Cataluña and País Vasco
Turismo,2023,3519,142,0.4451410658,Cars,Spain without Cataluña and País Vasco
Furgoneta,2023,342,9,0.02821316614,Vans,Spain without Cataluña and País Vasco
Camión hasta 3.500 kg,2023,48,0,0,"Trucks up to 3,500 kg",Spain without Cataluña and País Vasco
Camión más 3.500 kg,2023,188,4,0.01253918495,"Trucks over 3,500 kg",Spain without Cataluña and País Vasco
Autobús,2023,41,1,0.003134796238,Buses,Spain without Cataluña and País Vasco
Otro vehículo,2023,90,4,0.01253918495,Other vehicles,Spain without Cataluña and País Vasco
Se desconoce,2023,0,0,0,Unknown,Spain without Cataluña and País Vasco
Total,2023,6213,319,1,Total,Spain without Cataluña and País Vasco
