band,residents,year,licence_holders,driver_deaths,driver_hospitalised,drivers_involved,licence_share,travel_share,travel_share_low,travel_share_high,esra_national_share,travel_capped,travel_weighted_drivers,travel_weighted_drivers_low,travel_weighted_drivers_high,deaths_per_million_residents,deaths_per_million_residents_low,deaths_per_million_residents_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high,deaths_per_100k_travel,deaths_per_100k_travel_low,deaths_per_100k_travel_high,involved_per_10k_licence,involved_per_10k_licence_low,involved_per_10k_licence_high,deaths_per_1k_involved,deaths_per_1k_involved_low,deaths_per_1k_involved_high,sex
65-74,4300207,2015,2428547,95.0,343.0,8112.0,0.5647511852336411,0.2004995046835186,0.1936996182038968,0.2066618527839902,0.802,False,862189.3735365995,832948.4540977245,888688.7459746843,22.09195975914648,17.87371469869477,27.006275191765308,3.9118040540290138,3.1648830787845625,4.7819776032152355,11.018461015162037,8.648773084105157,13.942348179198424,33.402688932929856,32.67971210462676,34.13762834423153,11.71104536489152,9.474935042323736,14.316145663653295,total
75+,4299645,2015,1242288,105.0,208.0,4180.0,0.2889280394079046,0.2004995046835186,0.1936996182038968,0.2066618527839902,0.802,False,862076.6928149674,832839.5949122938,888572.6020134196,24.42062077218003,19.973648364057535,29.562650374353193,8.452146362196205,6.913018343594895,10.23183850031843,12.17989082353451,9.6648936874357,15.262110812853662,33.64759218474299,32.63520538370959,34.683398919742125,25.119617224880383,20.54535821059286,30.408828198286084,total
15-24,4464159,2016,1782649,106.0,853.0,23381.0,0.39932471043258094,0.39932471043258094,0.39932471043258094,0.39932471043258094,0.802,True,1782649.0,1782649.0,1782649.0,23.744673968825932,19.440193498221166,28.718499168140575,5.946207021124181,4.868267099514571,7.191766103587822,5.946207021124181,4.868267099514572,7.191766103587821,131.1587418499099,129.4828829554256,132.85087264624337,4.533595654591335,3.7117366565512815,5.483253347929827,total
25-34,5602939,2016,4379697,165.0,1217.0,39304.0,0.7816785083685545,0.7816785083685545,0.7816785083685545,0.7816785083685545,0.802,True,4379697.0,4379697.0,4379697.0,29.44883033707845,25.126798098508626,34.300887553965794,3.7673839080648728,3.214467051288247,4.388106771101507,3.7673839080648728,3.214467051288248,4.388106771101507,89.74136795307987,88.856330756373,90.63302488968763,4.198046000407083,3.581923392307649,4.889725743199917,total
35-44,7749234,2016,6468329,225.0,1402.0,43067.0,0.8347055979984602,0.8347055979984602,0.8347055979984602,0.8347055979984602,0.802,True,6468329.0,6468329.0,6468329.0,29.035127859089037,25.364938511937442,33.08715958655149,3.478487256909783,3.0387885947764106,3.96393167434017,3.478487256909783,3.0387885947764106,3.96393167434017,66.58133808592605,65.95398082906522,67.21317721888734,5.224417767664336,4.564024518183645,5.953517589605284,total
45-54,7214140,2016,5822956,230.0,1306.0,32962.0,0.8071587188493708,0.8071587188493708,0.8071587188493708,0.8071587188493708,0.802,True,5822956.0,5822956.0,5822956.0,31.88183206868733,27.894365758248625,36.279366189418354,3.9498838734141217,3.4558712068442854,4.494700403055261,3.9498838734141217,3.4558712068442854,4.494700403055261,56.606987928467944,55.99751743557436,57.22143819358359,6.977731933741885,6.1050257809359785,7.940186481455327,total
55-64,5702596,2016,4257156,157.0,755.0,18321.0,0.7465294753477189,0.6361727087187438,0.6145970833447597,0.655725463671096,0.802,False,3627835.9440486734,3504798.8690934936,3739337.406228937,27.531320823007626,23.39323114458804,32.1905011437387,3.6879080775992237,3.133597790454547,4.312020115313598,4.327648835872871,3.5675343479297617,5.237659275659361,43.03577317814992,42.414835916162595,43.66352611347584,8.56940123355712,7.281379092418709,10.019618091822485,total
65-74,4358172,2016,2544409,107.0,342.0,8417.0,0.5838248238022731,0.20144954554653666,0.1946174386879682,0.2076410931331458,0.802,False,877951.7688136408,848176.2720016197,904935.5981422683,24.551578046942616,20.120610704909257,29.66806892451798,4.205298755035059,3.4463438148912293,5.081673083254475,12.187457648680066,9.690090916641104,15.244301396898479,33.08037347769167,32.37739558580573,33.79476844588159,12.712367827016752,10.418092217777806,15.36159525732498,total
75+,4361747,2016,1256159,99.0,200.0,4295.0,0.287994466437416,0.20144954554653666,0.1946174386879682,0.2076410931331458,0.802,False,878671.9509389696,848872.0293449291,905677.9150502193,22.697327469933494,18.44726777004613,27.633181785453274,7.881167909476427,6.405424381323971,9.595039143385149,11.267003560794931,8.88420855991987,14.198718250401905,34.191531486061876,33.17654112382975,35.229681550903976,23.050058207217695,18.733949907845258,28.062618801665998,total
15-24,4484341,2017,1687002,99.0,857.0,22726.0,0.37619842023610606,0.37619842023610606,0.37619842023610606,0.37619842023610606,0.802,True,1687002.0,1687002.0,1687002.0,22.076822436117148,17.94295189732346,26.877739171297513,5.868398496267343,4.769544722187371,7.1445646035485115,5.868398496267343,4.769544722187371,7.144564603548512,134.71234770320368,132.9665339810814,136.47535642858114,4.356243949661181,3.5405401238315313,5.303570701098102,total
