COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
04|V|40 a 44 años|26265|0|26265|13308|25859|4579|807|0|0
04|V|45 a 49 años|30116|0|30116|15793|29256|5816|1349|0|0
04|V|50 a 54 años|27064|1|27064|14895|26054|5543|2068|0|1
04|V|55 a 59 años|24624|0|24624|14167|23582|4681|2020|0|0
04|V|60 a 64 años|21136|1|21136|13461|20072|3814|1512|0|1
04|V|65 a 69 años|17404|0|17404|12064|16369|1912|622|0|0
04|V|70 a 74 años|12991|4|12991|9359|11987|612|176|0|4
04|V|Más de 74 años|18552|3|18552|14731|13686|208|62|0|3
05|M|15 a 17 años|24|0|24|24|0|0|0|0|0
05|M|18 a 20 años|610|0|610|59|595|0|0|0|0
05|M|21 a 24 años|1885|0|1885|84|1881|9|0|0|0
05|M|25 a 29 años|2727|0|2727|112|2724|9|1|0|0
05|M|30 a 34 años|3007|0|3007|379|3001|19|1|0|0
05|M|35 a 39 años|3536|0|3536|521|3527|34|10|0|0
05|M|40 a 44 años|4044|0|4044|645|4036|53|16|0|0
05|M|45 a 49 años|4903|0|4903|931|4852|55|23|0|0
05|M|50 a 54 años|4706|0|4706|878|4648|41|19|0|0
05|M|55 a 59 años|4701|0|4701|497|4651|27|9|0|0
05|M|60 a 64 años|4229|0|4229|392|4180|19|9|0|0
05|M|65 a 69 años|2918|0|2918|245|2870|6|5|0|0
05|M|70 a 74 años|1601|0|1601|112|1569|0|0|0|0
05|M|Más de 74 años|1186|0|1186|135|1124|0|0|0|0
05|V|15 a 17 años|154|4|157|154|0|0|0|0|4
05|V|18 a 20 años|1030|2|1032|264|975|0|0|0|2
05|V|21 a 24 años|2117|1|2118|335|2102|64|0|0|1
05|V|25 a 29 años|3157|0|3157|601|3152|202|33|0|0
05|V|30 a 34 años|3410|0|3410|1210|3395|291|37|0|0
05|V|35 a 39 años|3911|0|3911|1679|3886|560|116|0|0
05|V|40 a 44 años|4487|0|4487|2077|4469|840|244|0|0
05|V|45 a 49 años|5558|0|5558|2525|5489|1028|302|0|0
05|V|50 a 54 años|5606|0|5606|2518|5519|1019|457|0|0
05|V|55 a 59 años|5747|0|5747|2207|5646|1023|555|0|0
05|V|60 a 64 años|5945|2|5945|2452|5810|967|432|0|2
05|V|65 a 69 años|5370|2|5370|2254|5210|489|175|0|2
05|V|70 a 74 años|4102|2|4102|1765|3921|153|77|0|2
05|V|Más de 74 años|7544|9|7547|4806|5686|70|21|0|9
06|M|15 a 17 años|183|0|183|183|0|0|0|0|0
06|M|18 a 20 años|3225|0|3225|358|3087|0|0|0|0
06|M|21 a 24 años|9295|0|9295|435|9265|47|4|0|0
06|M|25 a 29 años|13657|0|13657|553|13640|102|27|0|0
06|M|30 a 34 años|16250|0|16250|1732|16225|129|42|0|0
06|M|35 a 39 años|17935|0|17935|2393|17904|173|53|0|0
06|M|40 a 44 años|19757|0|19757|3242|19680|186|71|0|0
06|M|45 a 49 años|21565|0|21565|3866|21349|199|63|0|0
06|M|50 a 54 años|20180|1|20180|3997|19827|109|66|0|1
06|M|55 a 59 años|18323|0|18323|2796|17945|86|61|0|0
06|M|60 a 64 años|14573|0|14573|1881|14199|33|20|0|0
06|M|65 a 69 años|9207|1|9207|1170|8876|7|3|0|1
06|M|70 a 74 años|4878|0|4878|512|4664|2|0|0|0
06|M|Más de 74 años|3223|0|3223|434|3009|2|1|0|0
06|V|15 a 17 años|1063|17|1075|1063|0|0|0|0|17
06|V|18 a 20 años|5565|6|5569|1636|5135|14|0|0|6
06|V|21 a 24 años|11097|1|11098|2064|10984|308|12|0|1
06|V|25 a 29 años|15868|0|15868|3360|15816|957|59|0|0
06|V|30 a 34 años|17971|1|17971|7666|17894|1494|153|0|1
06|V|35 a 39 años|19728|1|19728|10002|19627|2616|329|0|1
06|V|40 a 44 años|21426|2|21427|11733|21249|3524|618|0|2
06|V|45 a 49 años|23855|2|23855|12709|23410|4053|1007|0|2
06|V|50 a 54 años|24435|12|24438|13934|23679|4175|1720|2|10
06|V|55 a 59 años|24421|16|24423|13091|23485|3696|1824|0|16
06|V|60 a 64 años|23478|22|23478|13933|22239|3159|1349|0|22
06|V|65 a 69 años|18808|21|18808|13134|17514|1303|520|0|21
06|V|70 a 74 años|14174|38|14174|10110|12907|385|193|0|38
06|V|Más de 74 años|25920|87|25921|21295|16837|223|97|0|87
07|M|15 a 17 años|927|0|927|927|0|0|0|0|0
07|M|18 a 20 años|4643|0|4643|1585|3892|0|1|0|0
07|M|21 a 24 años|13227|0|13227|2120|12956|22|1|0|0
07|M|25 a 29 años|23622|0|23622|4534|23431|181|50|0|0
07|M|30 a 34 años|31693|0|31693|8672|31450|356|137|0|0
07|M|35 a 39 años|36137|0|36137|13696|35770|625|280|0|0
07|M|40 a 44 años|42256|0|42256|18455|41718|928|466|0|0
07|M|45 a 49 años|42709|0|42709|17066|41725|736|330|0|0
07|M|50 a 54 años|38014|0|38014|17220|36823|540|200|0|0
07|M|55 a 59 años|32997|1|32998|13932|31869|537|113|1|0
07|M|60 a 64 años|27181|2|27181|10170|26218|392|58|1|1
07|M|65 a 69 años|21364|0|21364|5955|20523|175|17|0|0
07|M|70 a 74 años|15333|0|15333|3709|14567|67|7|0|0
07|M|Más de 74 años|18099|0|18099|6380|14703|35|1|0|0
07|V|15 a 17 años|2153|4|2156|2153|0|0|0|0|4
07|V|18 a 20 años|7821|1|7822|3702|6337|7|0|0|1
07|V|21 a 24 años|16739|0|16739|5187|16126|246|12|0|0
07|V|25 a 29 años|20484|0|20484|5816|20173|686|139|0|0
07|V|30 a 34 años|22604|0|22604|10351|22245|1111|341|0|0
07|V|35 a 39 años|26079|0|26079|12918|25738|1684|629|0|0
