province,age_group,sex,reference,year,Periodo,population
03 Alicante/Alacant,De 15 a 19 años,Mujeres,1 January,2002,1 de enero de 2002,44568
03 Alicante/Alacant,De 15 a 19 años,Total,1 January,2002,1 de enero de 2002,91575
03 Alicante/Alacant,De 20 a 24 años,Hombres,1 January,2002,1 de enero de 2002,59897
03 Alicante/Alacant,De 20 a 24 años,Mujeres,1 January,2002,1 de enero de 2002,56711
03 Alicante/Alacant,De 20 a 24 años,Total,1 January,2002,1 de enero de 2002,116607
03 Alicante/Alacant,De 25 a 29 años,Hombres,1 January,2002,1 de enero de 2002,64737
03 Alicante/Alacant,De 25 a 29 años,Mujeres,1 January,2002,1 de enero de 2002,60769
03 Alicante/Alacant,De 25 a 29 años,Total,1 January,2002,1 de enero de 2002,125506
03 Alicante/Alacant,De 30 a 34 años,Hombres,1 January,2002,1 de enero de 2002,61602
03 Alicante/Alacant,De 30 a 34 años,Mujeres,1 January,2002,1 de enero de 2002,59618
03 Alicante/Alacant,De 30 a 34 años,Total,1 January,2002,1 de enero de 2002,121220
03 Alicante/Alacant,De 35 a 39 años,Hombres,1 January,2002,1 de enero de 2002,59792
03 Alicante/Alacant,De 35 a 39 años,Mujeres,1 January,2002,1 de enero de 2002,58643
03 Alicante/Alacant,De 35 a 39 años,Total,1 January,2002,1 de enero de 2002,118435
03 Alicante/Alacant,De 40 a 44 años,Hombres,1 January,2002,1 de enero de 2002,54190
03 Alicante/Alacant,De 40 a 44 años,Mujeres,1 January,2002,1 de enero de 2002,54104
03 Alicante/Alacant,De 40 a 44 años,Total,1 January,2002,1 de enero de 2002,108294
03 Alicante/Alacant,De 45 a 49 años,Hombres,1 January,2002,1 de enero de 2002,45301
03 Alicante/Alacant,De 45 a 49 años,Mujeres,1 January,2002,1 de enero de 2002,46315
03 Alicante/Alacant,De 45 a 49 años,Total,1 January,2002,1 de enero de 2002,91616
03 Alicante/Alacant,De 5 a 9 años,Hombres,1 January,2002,1 de enero de 2002,37331
03 Alicante/Alacant,De 5 a 9 años,Mujeres,1 January,2002,1 de enero de 2002,35401
03 Alicante/Alacant,De 5 a 9 años,Total,1 January,2002,1 de enero de 2002,72733
03 Alicante/Alacant,De 50 a 54 años,Hombres,1 January,2002,1 de enero de 2002,41834
03 Alicante/Alacant,De 50 a 54 años,Mujeres,1 January,2002,1 de enero de 2002,43733
03 Alicante/Alacant,De 50 a 54 años,Total,1 January,2002,1 de enero de 2002,85568
03 Alicante/Alacant,De 55 a 59 años,Hombres,1 January,2002,1 de enero de 2002,38713
03 Alicante/Alacant,De 55 a 59 años,Mujeres,1 January,2002,1 de enero de 2002,41041
03 Alicante/Alacant,De 55 a 59 años,Total,1 January,2002,1 de enero de 2002,79754
03 Alicante/Alacant,De 60 a 64 años,Hombres,1 January,2002,1 de enero de 2002,36024
03 Alicante/Alacant,De 60 a 64 años,Mujeres,1 January,2002,1 de enero de 2002,38104
03 Alicante/Alacant,De 60 a 64 años,Total,1 January,2002,1 de enero de 2002,74128
03 Alicante/Alacant,De 65 a 69 años,Hombres,1 January,2002,1 de enero de 2002,35758
03 Alicante/Alacant,De 65 a 69 años,Mujeres,1 January,2002,1 de enero de 2002,38529
03 Alicante/Alacant,De 65 a 69 años,Total,1 January,2002,1 de enero de 2002,74288
03 Alicante/Alacant,De 70 a 74 años,Hombres,1 January,2002,1 de enero de 2002,30077
03 Alicante/Alacant,De 70 a 74 años,Mujeres,1 January,2002,1 de enero de 2002,35112
03 Alicante/Alacant,De 70 a 74 años,Total,1 January,2002,1 de enero de 2002,65189
03 Alicante/Alacant,De 75 a 79 años,Hombres,1 January,2002,1 de enero de 2002,21785
03 Alicante/Alacant,De 75 a 79 años,Mujeres,1 January,2002,1 de enero de 2002,28740
03 Alicante/Alacant,De 75 a 79 años,Total,1 January,2002,1 de enero de 2002,50525
03 Alicante/Alacant,De 80 a 84 años,Hombres,1 January,2002,1 de enero de 2002,10881
03 Alicante/Alacant,De 80 a 84 años,Mujeres,1 January,2002,1 de enero de 2002,17602
03 Alicante/Alacant,De 80 a 84 años,Total,1 January,2002,1 de enero de 2002,28483
03 Alicante/Alacant,De 85 a 89 años,Hombres,1 January,2002,1 de enero de 2002,4654
03 Alicante/Alacant,De 85 a 89 años,Mujeres,1 January,2002,1 de enero de 2002,9160
03 Alicante/Alacant,De 85 a 89 años,Total,1 January,2002,1 de enero de 2002,13814
03 Alicante/Alacant,Todas las edades,Hombres,1 January,2002,1 de enero de 2002,730726
03 Alicante/Alacant,Todas las edades,Mujeres,1 January,2002,1 de enero de 2002,747574
03 Alicante/Alacant,Todas las edades,Total,1 January,2002,1 de enero de 2002,1478299
04 Almería,90 y más años,Hombres,1 January,2002,1 de enero de 2002,574
04 Almería,90 y más años,Mujeres,1 January,2002,1 de enero de 2002,1433
04 Almería,90 y más años,Total,1 January,2002,1 de enero de 2002,2007
04 Almería,De 0 a 4 años,Hombres,1 January,2002,1 de enero de 2002,15951
